city,action,venue,primary_type,reviews,website,reason
"scottsdale",hide,"Pei Wei Asian Kitchen",chinese_restaurant,388,"https://www.peiwei.com/arizona/7-grayhawk","zero-HH cuisine (chinese_restaurant)"
"scottsdale",hide,"Saigon District Pho and Boba",vietnamese_restaurant,375,"http://www.saigondistrictphoboba.com/","zero-HH cuisine (vietnamese_restaurant)"
"spokane",hide,"Red Dragon Northside",chinese_restaurant,1439,"https://www.reddragonspokane.com/","zero-HH cuisine (chinese_restaurant)"
"spokane",hide,"Pho Thinh",vietnamese_restaurant,885,"https://phothinhwa.com/","zero-HH cuisine (vietnamese_restaurant)"
"spokane",hide,"Red Dragon Spokane",chinese_restaurant,692,"http://www.reddragonspokane.com/","zero-HH cuisine (chinese_restaurant)"
"spokane",hide,"Happiness Chinese Restaurant",chinese_restaurant,671,"https://happinesswatogo.com/","zero-HH cuisine (chinese_restaurant)"
"spokane",hide,"Chan's Dragon Inn | Chinese",chinese_restaurant,208,"http://chans-dragon-inn.edan.io/","zero-HH cuisine (chinese_restaurant)"
"tacoma",hide,"Pho Saigon House",vietnamese_restaurant,769,"http://www.phosaigonhouse.com/","zero-HH cuisine (vietnamese_restaurant)"
"tacoma",hide,"Harbor City Tacoma Restaurant",chinese_restaurant,658,"https://harborcitytacoma.com/","zero-HH cuisine (chinese_restaurant)"
"tacoma",hide,"VK Viet Kitchen Tacoma",vietnamese_restaurant,644,"https://vkvietkitchentacoma.com/","zero-HH cuisine (vietnamese_restaurant)"
"tacoma",hide,"Fresh Rolls Fircrest",vietnamese_restaurant,143,"https://ilovefreshrolls.com/","zero-HH cuisine (vietnamese_restaurant)"
"tucson",hide,"Miss Saigon",vietnamese_restaurant,1898,"https://www.misssaigontucson.com/","zero-HH cuisine (vietnamese_restaurant)"
"tucson",hide,"Jun Dynasty Chinese Restaurant",chinese_restaurant,1628,"http://jundynasty.com/","zero-HH cuisine (chinese_restaurant)"
"tucson",hide,"Miss Saigon",vietnamese_restaurant,1539,"http://www.misssaigontucson.com/","zero-HH cuisine (vietnamese_restaurant)"
"tucson",hide,"The Bamboo Terrace",chinese_restaurant,1398,"https://thebambooterrace.com/","zero-HH cuisine (chinese_restaurant)"
"tucson",hide,"Ba-Dar Chinese Restaurant",chinese_restaurant,1163,"https://www.ba-dartucson.com/","zero-HH cuisine (chinese_restaurant)"
"tucson",hide,"Saigon Blossoms | Miss Saigon Downtown ~ Evolved",vietnamese_restaurant,1081,"http://www.saigonblossoms.com/","zero-HH cuisine (vietnamese_restaurant)"
"tucson",hide,"Pei Wei Asian Kitchen",chinese_restaurant,999,"https://www.peiwei.com/arizona/30-williams-center","zero-HH cuisine (chinese_restaurant)"
"tucson",hide,"Great Village Chinese Restaurant",chinese_restaurant,998,"https://www.facebook.com/GreatVillageRestaurant/","zero-HH cuisine (chinese_restaurant)"
"tucson",hide,"Chef Wang 状元楼",chinese_restaurant,936,"https://chefwang.xyz/?utm_source=google","zero-HH cuisine (chinese_restaurant)"
"tucson",hide,"Golden House Chinese Fast Food",chinese_restaurant,783,"https://www.goldenhousetucson.com/","zero-HH cuisine (chinese_restaurant)"
"tucson",hide,"Korea House Restaurant",korean_restaurant,709,"https://koreahouseaz.com/","zero-HH cuisine (korean_restaurant)"
"tucson",hide,"Great Wall China",chinese_restaurant,705,"https://www.greatwallchinesetucson.com/","zero-HH cuisine (chinese_restaurant)"
"tucson",hide,"Ha Long Bay",vietnamese_restaurant,701,"https://www.orderhalongbay.com/#/","zero-HH cuisine (vietnamese_restaurant)"
"tucson",hide,"China Szechwan",chinese_restaurant,668,"http://www.chinaszechwan.com/","zero-HH cuisine (chinese_restaurant)"
"tucson",hide,"Phở Cần Thơ Vietnamese Cuisine",vietnamese_restaurant,419,"https://www.phocanthotucson.com/#menu","zero-HH cuisine (vietnamese_restaurant)"
"tucson",hide,"Cheng's Beijing Chinese Restaurant",chinese_restaurant,383,"http://www.chengsbeijingtucson.com/","zero-HH cuisine (chinese_restaurant)"
"tucson",hide,"Sky Dragon Chinese Cuisine",chinese_restaurant,382,"http://skydragonchinese.wixsite.com/tucson","zero-HH cuisine (chinese_restaurant)"
"tucson",hide,"Happy Wok",chinese_restaurant,363,"https://www.happywoktucsonaz.com/","zero-HH cuisine (chinese_restaurant)"
"tucson",hide,"New Asia Chinese Restaurant",chinese_restaurant,352,"http://www.newasiatucson.com/","zero-HH cuisine (chinese_restaurant)"
"tucson",hide,"Golden Dragon Chinese Restaurant",chinese_restaurant,256,"http://goldendragontucson.com/","zero-HH cuisine (chinese_restaurant)"
