reason,name,primary_type,reviews,address,website
out-of-area,"Szechuan Impression","chinese_restaurant",109,"2327 SW 336th St, Federal Way, WA 98023, USA","https://www.szechuanimpressionwa.com/"
out-of-area,"Taco Time","mexican_restaurant",639,"5105 Pacific Hwy E, Fife, WA 98424, USA","http://www.tacotimenw.com/"
out-of-area,"Tacos Guaymas","mexican_restaurant",1217,"1148 72nd St E, Tacoma, WA 98404, USA","http://www.tacosguaymastacoma.com/"
out-of-area,"Tatanka Take-Out","american_restaurant",559,"4915 N Pearl St, Ruston, WA 98407, USA","http://tatanka-to.com/"
out-of-area,"Tea House","chinese_restaurant",136,"8012 S Tacoma Way #34d, Lakewood, WA 98499, USA",
out-of-area,"The Bird Bar","bar",562,"7121 Waller Rd E, Tacoma, WA 98443, USA","https://www.facebook.com/tbirdtradingbar/"
out-of-area,"The Meltdown","restaurant",46,"5110 Pacific Hwy E, Fife, WA 98424, USA","https://themeltdown.com/?utm_source=G&utm_medium=organic&utm_campaign=DAC"
out-of-area,"The Penalty Box","sports_bar",72,"2510 S 84th St #15, Lakewood, WA 98499, USA",
out-of-area,"The Pine Cone","family_restaurant",1134,"7912 27th St W, University Place, WA 98466, USA","https://thepineconeup.com/"
out-of-area,"The Seoul Chicken","korean_restaurant",147,"4324 Bridgeport Way W, University Place, WA 98466, USA","http://theseoulchicken-tacoma.com/"
out-of-area,"Thirsty Hound Drinkery","restaurant",202,"1905 Bridgeport Way W Ste. 112, University Place, WA 98466, USA","https://www.thirstyhounddrinkery.com/"
out-of-area,"Thunderbird Restaurant","restaurant",647,"7121 Waller Rd E, Tacoma, WA 98443, USA","https://www.facebook.com/ThunderbirdRestaurant/"
out-of-area,"TOMO Tea House","tea_house",194,"3818 Bridgeport Way W, University Place, WA 98466, USA","https://tomoteahouse.com/university-place?utm_source=google"
out-of-area,"Top Pho, Fife","vietnamese_restaurant",221,"4420 Pacific Hwy E, Fife, WA 98424, USA",
out-of-area,"U P Station Bar & Grill","bar_and_grill",565,"8305 27th St W, University Place, WA 98466, USA",
out-of-area,"UP Pho & Teriyaki","asian_fusion_restaurant",355,"2620 Bridgeport Way W #B, University Place, WA 98466, USA",
out-of-area,"Warthog Barbeque Pit","barbecue_restaurant",1314,"4921 20th St E, Fife, WA 98424, USA","http://www.warthogbbq.com/"
out-of-area,"Welcome Restaurant and Bar en Ruston , tacoma","restaurant",205,"5105 N Pearl St, Ruston, WA 98407, USA","https://www.welcomerestaurantandbarwa.com/"
out-of-area,"Westside Pizza","pizza_restaurant",258,"4040 S Orchard St Suite 110, Fircrest, WA 98466, USA","https://order.westsidepizza.com/c/westsidepizza/locations/fircrestwa?utm_source=Google&utm_medium=organic&utm_campaign=GMB"
out-of-area,"Yoko's Teriyaki Bistro","japanese_restaurant",217,"34024 Hoyt Rd SW, Federal Way, WA 98023, USA","https://yokosteriyakibistro.menu11.com/federalway/order"
low-signal,"72 TACOMA MARKET","flea_market",5,"1314 72nd St E, Tacoma, WA 98404, USA",
low-signal,"Annie's Lunch Counter","restaurant",14,"3440 SW 320th St E-1, Federal Way, WA 98023, USA","https://www.facebook.com/annieslunchcounter/"
