name,primary_type,address,website_url,reviews,rating,business_status,processed
"Taquería Mi Pueblo","taco_restaurant","2264 E Benson Hwy, Tucson, AZ 85714, USA",,425,5.0,"OPERATIONAL",linked
"On The Rocks (OTR)","restaurant","7930 E Speedway Blvd Ste 170, Tucson, AZ 85710, USA","https://otrtucson.com/",421,4.4,"OPERATIONAL",linked
"Panda One","chinese_restaurant","3670 N Oracle Rd, Tucson, AZ 85705, USA","http://pandaoneonline.com/",419,4.3,"OPERATIONAL",
"Phở Cần Thơ Vietnamese Cuisine","vietnamese_restaurant","2746 N Campbell Ave, Tucson, AZ 85719, USA","https://www.phocanthotucson.com/#menu",419,4.1,"OPERATIONAL",
"Los Mezquites","mexican_restaurant","2341-2399 W Drexel Rd, Tucson, AZ 85746, USA","https://losmezquitestucson.com/",418,4.6,"OPERATIONAL",
"Gusto Osteria","italian_restaurant","7153 E Tanque Verde Rd, Tucson, AZ 85715, USA","http://gustotucson.com/",416,4.4,"OPERATIONAL",
"Margarita Bay","bar","7415 E 22nd St, Tucson, AZ 85710, USA",,416,4.0,"OPERATIONAL",
"La Herradura Mexican Grill & Seafood","mexican_restaurant","3051 S Kinney Rd, Tucson, AZ 85713, USA","https://laherradurakitchen.com/",415,4.3,"OPERATIONAL",linked
"El Charro Cafe","mexican_restaurant","7250 S Tucson Blvd Concourse B, Tucson, AZ 85756, USA",,413,4.2,"OPERATIONAL",linked
"Buffalo Wings","chicken_wings_restaurant","485 N Grande Ave, Tucson, AZ 85745, USA",,412,4.5,"OPERATIONAL",
"Golden Dragon Chinese Restaurant","chinese_restaurant","6166 E Speedway Blvd, Tucson, AZ 85712, USA","https://goldendragon.kwickmenu.com/",411,3.5,"OPERATIONAL",
"Tandem American Eatery","restaurant","8864 E Tanque Verde Rd, Tucson, AZ 85749, USA","http://tandemaz.com/",409,4.5,"OPERATIONAL",linked
"Mariscos Baja Mar","seafood_restaurant","5607 S Nogales Hwy, Tucson, AZ 85706, USA","https://www.facebook.com/bajamarofficial/",409,4.5,"OPERATIONAL",linked
"Turkish Kebab House","turkish_restaurant","810 E University Blvd, Tucson, AZ 85719, USA","https://www.turkishkebabhouse.us/",406,4.6,"OPERATIONAL",
"Bob's Steak & Chop House","steak_house","2727 W Club Dr, Tucson, AZ 85742, USA","https://bobs-steakandchop.com/tucson/?utm_source=gmblisting&utm_medium=organic",405,4.5,"OPERATIONAL",linked
