reason,name,primary_type,address,website
format,"Kanto food truck","filipino_restaurant","Building 3, Daly City, CA 94015, USA",
format,"La bonita Food truck","restaurant","Callan Blvd &, King Dr, South San Francisco, CA 94080, USA",
format,"La bonita Food truck","mexican_restaurant","4000 Callan Blvd, South San Francisco, CA 94080, USA",
format,"Las pencas food truck #2","mexican_restaurant","1165 Hillside Blvd, Daly City, CA 94014, USA",
format,"Los Cuates Taqueria","mexican_restaurant","140 Hazelwood Dr, South San Francisco, CA 94080, USA",
format,"Los Cuates Taqueria","mexican_restaurant","311 E Market St, Daly City, CA 94014, USA","https://m.facebook.com/profile.php?id=170041643131634"
format,"Lucky Chances Casino","casino","1700 Hillside Blvd, Colma, CA 94014, USA","http://www.luckychances.com/"
format,"Melissas Taqueria","mexican_restaurant","160 Visitacion Ave, Brisbane, CA 94005, USA","https://melissastaqueria.com/"
format,"Tacos El Charrito Food Truck","mexican_restaurant","7428 Mission St, Daly City, CA 94014, USA",
format,"Taqueria El Buen Sabor","mexican_restaurant","98 Leland Ave, San Francisco, CA 94134, USA",
format,"Taqueria El Farolito","mexican_restaurant","394 Grand Ave, South San Francisco, CA 94080, USA","https://taqueriaelfarolito.shop/"
format,"Taqueria El Gran Amigo","mexican_restaurant","72 B Serramonte Center, Daly City, CA 94015, USA","https://www.taqueriaelgranamigoorder.com/"
format,"Taqueria la Mordida","mexican_restaurant","535 Oceana Blvd, Pacifica, CA 94044, USA","https://www.taquerialamordida.com/"
format,"Taqueria Los Agaves","mexican_restaurant","2408 B Junipero Serra Blvd, Daly City, CA 94015, USA",
format,"Taqueria Mi Durango 2","mexican_restaurant","671 El Camino Real, South San Francisco, CA 94080, USA","https://www.taqueriamidurango.com/"
format,"Taqueria Pacifica","mexican_restaurant","1710 Francisco Blvd, Pacifica, CA 94044, USA","http://taqueriapacifica.lovable.app/"
format,"Taqueria Vallarta","mexican_restaurant","4696 Mission St, San Francisco, CA 94112, USA",
format,"Universal Breakfast & Lunch","breakfast_restaurant","1217 Geneva Ave, San Francisco, CA 94112, USA",
format,"Young Breakfast","restaurant","6012 Mission St, Daly City, CA 94014, USA",
place-type,"Bayside Cafe","breakfast_restaurant","2011 Bayshore Blvd, San Francisco, CA 94124, USA",
place-type,"Cable Car Cafe","breakfast_restaurant","423 Grand Ave, South San Francisco, CA 94080, USA","https://cablecarcafe-ssf.com/"
place-type,"Cafe de Casa","brazilian_restaurant","1165 Airport Blvd, South San Francisco, CA 94080, USA","http://www.cafedecasa.com/"
place-type,"California Catering Company","catering_service","920 Stonegate Dr, South San Francisco, CA 94080, USA","http://california-catering-company.com/"
place-type,"Clean Bites (SFSU)","restaurant","755 Font Blvd #107A, San Francisco, CA 94132, USA","https://campusrec.sfsu.edu/CleanBites"
place-type,"Grand HotPot","hot_pot_restaurant","452 Manor Plaza, Pacifica, CA 94044, USA",
place-type,"Mountain Mike's Pizza","pizza_restaurant","35 Skyline Plaza, Daly City, CA 94015, USA","https://www.mountainmikespizza.com/locations/daly-city-skyline/"
place-type,"Mountain Mike's Pizza","pizza_restaurant","101 Hickey Blvd d, South San Francisco, CA 94080, USA","https://www.mountainmikespizza.com/locations/south-san-francisco-hickey-blvd/"
place-type,"Mountain Mike's Pizza","pizza_restaurant","5999 Mission St, Daly City, CA 94014, USA","https://www.mountainmikespizza.com/locations/daly-city-mission-st/"
place-type,"Palmetto Superfoods - Stonestown Mall","restaurant","3251 20th Ave #156, San Francisco, CA 94132, USA","http://www.palmettosuperfoods.com/"
place-type,"Sidewalk Juice","juice_shop","41 Serramonte Center, Daly City, CA 94015, USA","http://www.sidewalkjuice.com/"
place-type,"The Salad Place & Rotisserie","breakfast_restaurant","5392 Mission St, San Francisco, CA 94112, USA","http://www.thesaladplacerotisserie.com/"
place-type,"The Stop Cafe","breakfast_restaurant","1485 Bayshore Blvd, San Francisco, CA 94124, USA",
closed,"Blondie’s Pizza","pizza_restaurant","3251 20th Ave, San Francisco, CA 94132, USA","https://blondiespizza.com/stonestown/"
closed,"CHOPSTICKS CHINESE FAST FOOD","chinese_restaurant","4615 Mission St, San Francisco, CA 94112, USA",
closed,"Hawaiian Drive Inn","hawaiian_restaurant","128 Hazelwood Dr, South San Francisco, CA 94080, USA","http://www.hawaiiandriveinn.com/"
closed,"Junior’s Empanadas","restaurant","125 Station Ave, Daly City, CA 94014, USA",
closed,"Nali's Place","restaurant","48 Middlefield Dr, San Francisco, CA 94132, USA","https://nalisplace.info/?utm_source=google"
closed,"Noodle Station","chinese_noodle_restaurant","6055 Mission St, Daly City, CA 94014, USA","http://noodlestation.online/"
closed,"Orzo Octagon 3","restaurant","48 Middlefield Dr, San Francisco, CA 94132, USA","https://orzooctagon.xyz/?utm_source=google"
closed,"Paisanos Pacifica","italian_restaurant","442 Manor Plaza, Pacifica, CA 94044, USA","http://www.paisanospacifica.menu/"
closed,"Pares sa Daly City","restaurant","7 San Pedro Rd, Daly City, CA 94014, USA",
closed,"Pokedon","sushi_restaurant","5301 Mission St # B, San Francisco, CA 94112, USA",
closed,"Red Ninja Sushi","japanese_restaurant","3251 20th Ave, San Francisco, CA 94132, USA",
closed,"Shwe Yankin","burmese_restaurant","63 St Francis Square, Daly City, CA 94015, USA","https://shweyankin.com/"
closed,"Supreme Pot","restaurant","3 St Francis Square, Daly City, CA 94015, USA",
closed,"T C Pastry","dim_sum_restaurant","67 St Francis Square, Daly City, CA 94015, USA",
closed,"Tacos Mexico","mexican_restaurant","205 Lawrence Ave, San Francisco, CA 94112, USA",
closed,"The Broken Record","bar","1166 Geneva Ave, San Francisco, CA 94112, USA","http://the-broken-record.teeq.io/"
