name,primary_type,address,website_url,reviews,rating,business_status,processed
"Sarku Japan","japanese_restaurant","4502 South Steele Street Store #VC-08, 4502 S Steele St Store VC - 08, Tacoma, WA 98409, USA","https://www.sarkujapan.com/",491,4.1,"OPERATIONAL",
"Antojos Mexican Grill Tacoma","mexican_restaurant","6104 6th Ave #2018, Tacoma, WA 98406, USA","http://antojosmexicangrill.com/",488,4.3,"OPERATIONAL",
"Thọ Tường BBQ","barbecue_restaurant","715 S 38th St, Tacoma, WA 98418, USA",,481,4.6,"OPERATIONAL",
"Berliner Beerhall","german_restaurant","2401 Pacific Ave, Tacoma, WA 98402, USA","http://www.berlinerbeerhall.com/",480,4.7,"OPERATIONAL",
"Chez Lafayette Creole Brasserie","american_restaurant","1101 Tacoma Ave S, Tacoma, WA 98402, USA","https://chezlafayette.com/",476,4.6,"OPERATIONAL",
"Taco Street","taco_restaurant","5101 Yacht Club Rd, Tacoma, WA 98407, USA","http://www.tacostreetfood.com/",474,4.5,"OPERATIONAL",linked
"The Tipsy Tomato Bar & Kitchen","bar","3878 Center St, Tacoma, WA 98409, USA",,470,4.3,"OPERATIONAL",linked
"Gari of Sushi","japanese_restaurant","1209 S 38th St, Tacoma, WA 98418, USA","http://gariofsushi.com/",464,4.6,"OPERATIONAL",
"Taquería la Michoacana","mexican_restaurant","1301 S 38th St, Tacoma, WA 98418, USA","https://taquerialamichoacanawa.smartonlineorder.com/",461,4.5,"OPERATIONAL",
"Souper Pho","restaurant","2725 N Pearl St, Tacoma, WA 98407, USA","http://souperphorestaurant.com/",460,4.7,"OPERATIONAL",
"Empanadas Colombianas Luis Panes","colombian_restaurant","5640 S Tacoma Way, Tacoma, WA 98409, USA","https://bit.ly/4abdeCP",437,4.6,"OPERATIONAL",
"The Boom Boom Room Tacoma","cocktail_bar","3016 6th Ave, Tacoma, WA 98406, USA","https://tacomasboomboomroom.com/",429,4.4,"OPERATIONAL",
"Tacoma Pie","pizza_restaurant","4417 6th Ave, Tacoma, WA 98406, USA","http://tacomapie.com/",428,4.7,"OPERATIONAL",linked
"La Sazon de mi Suegra","colombian_restaurant","6324 E McKinley Ave, Tacoma, WA 98404, USA",,420,4.4,"OPERATIONAL",
"The MOMO King","restaurant","4502 S Steele St VC05, Tacoma, WA 98409, USA",,419,4.7,"OPERATIONAL",
"Cerello's Pizza, Wine Cafe","pizza_restaurant","4916 Center St P, Tacoma, WA 98409, USA","https://cerellospizzas.com/?utm_source=google",405,4.6,"OPERATIONAL",
"The New Frontier Lounge","bar","301 E 25th St, Tacoma, WA 98421, USA","http://thenewfrontierlounge.com/",401,4.4,"OPERATIONAL",
"Burritos California","restaurant","820 S 38th St, Tacoma, WA 98418, USA","https://burritoscaliforniawashington.com/",398,4.5,"OPERATIONAL",
"Flying Sushi","sushi_restaurant","5719 N 26th St B, Tacoma, WA 98407, USA","https://www.flyingsushiwa.com/",394,4.4,"OPERATIONAL",
"Sushi Tama Restaurant","sushi_restaurant","3919 6th Ave, Tacoma, WA 98406, USA","http://sushitamarestaurant.com/",392,4.6,"OPERATIONAL",
