city,action,venue,primary_type,reviews,website,reason
"san-francisco",hide,"Spiazzo Ristorante",italian_restaurant,638,"https://www.spiazzoristorante.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Coco's Ramen",ramen_restaurant,629,"http://www.cocoramen.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"The Pizza Place on Noriega",pizza_restaurant,624,"http://pizzaplacesf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Poesia Osteria Italiana",restaurant,622,"https://www.poesiasf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"bao",dim_sum_restaurant,618,"https://www.baovalencia.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Arabian Nights",lebanese_restaurant,614,"http://arabiannightssf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"The Cove on Castro",american_restaurant,605,"http://www.thecoveoncastro.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"La Mediterranee",mediterranean_restaurant,593,"http://www.lamednoe.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Nara",japanese_restaurant,584,"https://narasushisf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Pizzelle di North Beach",pizza_restaurant,562,"https://pizzelle314.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Victor’s Pizzeria & Italian Restaurant",italian_restaurant,560,"http://victorspizza.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Kui Shin Bo",japanese_restaurant,551,"https://order.online/business/kui-shin-bo-96827","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Prubechu",restaurant,547,"http://www.prubechu.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Uva Enoteca",italian_restaurant,543,"https://www.uvaenoteca.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"El Toreador",mexican_restaurant,541,"http://www.eltoreadorsf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Flour + Water Pizzeria",pizza_restaurant,529,"http://www.fwpizzashop.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Elephant Sushi",sushi_restaurant,521,"https://elephantsushi.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Bistro Central Parc Restaurant",restaurant,520,"https://bistrocentralparcsf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Hot Johnnie's Smokehouse",barbecue_restaurant,519,"https://www.hotjohnnies.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-website-link","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Georgian Cheese Boat",eastern_european_restaurant,507,"http://www.georgiancheeseboat.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Wako Japanese Restaurant",japanese_restaurant,501,"http://sushiwakosf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Soma Eats",restaurant,500,"http://www.somaeatssf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Souvla",greek_restaurant,500,"http://www.souvla.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Bravo Pizza",pizza_restaurant,499,"https://app.heyeats.shop/store/bravo-pizza/shop","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Palio",italian_restaurant,491,"http://www.paliosf.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Marcello's Pizza",pizza_restaurant,490,"http://marcellospizza420.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Pizzetta Napoletana",pizza_restaurant,490,"http://www.pizzettanapoletana.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Sakesan Sushi & Robata",japanese_restaurant,489,"https://www.sakesansushirobataca.com/rf06he5r/restaurant/order-online","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Taishoken San Francisco",ramen_restaurant,489,"https://www.taishokenusa.com/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Grand Hot Pot Lounge",hot_pot_restaurant,485,"http://grandhotpotlounge.com/menu/","restaurant w/ working site (alcohol-only policy)"
"san-francisco",hide,"Pizzeria Avellino",pizza_restaurant,484,"https://www.pizzeriaavellinomenu.com/?utm_source=gbp","restaurant w/ working site (alcohol-only policy)"
