city,name,primary_type,reviews,rating,action,outcome,website
phoenix-central,"Original ChopShop",restaurant,1500,4.6,hide,no_hh_found,https://originalchopshop.com/menu/
phoenix-central,"Barro's Pizza",pizza_restaurant,1462,4.3,hide,no_hh_found,https://barrospizza.com/
phoenix-central,"Barro's Pizza",pizza_restaurant,1444,4.4,hide,no_hh_found,https://barrospizza.com/
phoenix-central,"Wong's Chinese Dining",chinese_restaurant,1375,4.5,hide,no_hh_found,http://wongs-chinesedining.com/
phoenix-central,"Pei Wei Asian Kitchen",chinese_restaurant,1365,4.0,hide,no_hh_found,https://www.peiwei.com/arizona/163-phoenix-mcdowell/
phoenix-central,"Jewel's Bakery & Cafe",restaurant,1343,4.5,hide,no_hh_found,http://www.jewelsbakeryandcafe.com/
phoenix-central,"Tacos Veganos",vegan_restaurant,1302,4.7,hide,no_hh_found,http://aztacosveganos.com/
phoenix-central,"Flower Child",american_restaurant,1248,4.6,hide,no_hh_found,https://www.iamaflowerchild.com/locations/phoenix-az-arcadia/?utm_source=Google&utm_medium=Organic&utm_campaign=Maps
phoenix-central,"Barro's Pizza",pizza_restaurant,1168,4.4,hide,no_hh_found,https://barrospizza.com/
phoenix-central,"Centrico",mexican_restaurant,1168,4.8,hide,no_hh_found,http://centricophx.com/
phoenix-central,"Tacos Calafia North",mexican_restaurant,1144,4.7,hide,no_hh_found,https://tacoscalafia.com/
phoenix-central,"Via Delosantos",mexican_restaurant,1121,4.5,hide,no_hh_found,http://viadelosantosaz.com/
phoenix-central,"Pizza A Metro",italian_restaurant,1119,4.8,hide,no_hh_found,https://www.pizzametroaz.com/
phoenix-central,"Someburros",restaurant,1034,4.3,hide,no_hh_found,https://www.someburros.com/
phoenix-central,"Tutti Santi Ristorante by Nina",italian_restaurant,1005,4.7,hide,no_hh_found,https://www.tuttisantiphoenix.com/
phoenix-central,"Gus's World Famous Fried Chicken",chicken_restaurant,1000,4.6,hide,no_hh_found,http://gusfriedchicken.com/
phoenix-central,"Pizza By Napoli",pizza_restaurant,989,4.5,hide,no_hh_found,https://pizzabynapoliphoenix.com/?utm_source=gbp
phoenix-central,"Barro's Pizza",pizza_restaurant,941,4.4,hide,no_hh_found,https://barrospizza.com/
phoenix-central,"Abacus Inn Chinese Restaurant",chinese_restaurant,930,4.3,hide,no_hh_found,https://www.theabacusinn.com/
phoenix-central,"Soup & Sausage Bistro",ukrainian_restaurant,911,4.7,hide,no_hh_found,https://soupnsausagebistro.com/
phoenix-central,"Just Tacos and More",mexican_restaurant,903,4.8,hide,no_hh_found,https://www.justtacosandmore.com/
phoenix-central,"Dragon Palace",chinese_restaurant,888,4.3,hide,no_hh_found,https://www.dragonpalacephoenix.com/
phoenix-central,"The Spice Sea",seafood_restaurant,843,4.7,hide,no_hh_found,https://www.thespiceseaaz.com/
phoenix-central,"Rubio's Coastal Grill",mexican_restaurant,838,4.1,hide,no_hh_found,https://www.rubios.com/restaurant-locations/arizona/phoenix-bell-rd
phoenix-central,"Taco Viva",restaurant,833,4.7,hide,no_hh_found,https://www.tacoviva.com/
phoenix-central,"Pinos Pizza Al Centro",italian_restaurant,828,4.6,hide,no_hh_found,http://www.pinospizzaalcentrophoenix.com/
phoenix-central,"Rusconi's American Kitchen",american_restaurant,799,4.7,hide,no_hh_found,http://rusconiskitchen.com/
phoenix-central,"Chase Sapphire Lounge by The Club PHX",restaurant,785,2.2,hide,no_hh_found,http://chase.com/sapphireairportlounge?y_source=1_MTA4NjYwNDMwMi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
phoenix-central,"Via Della Slice Shop",pizza_restaurant,783,4.7,hide,no_hh_found,http://viadellapizza.com/
phoenix-central,"L'amore Italian Restaurant",italian_restaurant,764,4.6,hide,no_hh_found,http://www.lamoreitalian.com/
phoenix-central,"TEG Torta Shop - Tortas El Güero",mexican_restaurant,753,4.6,hide,no_hh_found,http://tegtortashop.com/
phoenix-central,"Irma's Kitchen LLC",mexican_restaurant,750,4.6,hide,no_hh_found,https://irmaskitchonline.com/
phoenix-central,"Mariscos El Tiburon Seafood Restaurant",seafood_restaurant,705,3.9,hide,no_hh_found,https://www.mariscoseltiburonllc.com/
phoenix-central,"Pane Bianco Central",italian_restaurant,692,4.6,hide,no_hh_found,http://www.pizzeriabianco.com/
phoenix-central,"Bacanora PHX",mexican_restaurant,679,4.4,hide,no_hh_found,https://www.bacanoraphx.com/
phoenix-central,"Sala Thai North Phoenix",thai_restaurant,678,4.4,hide,no_hh_found,http://salathaiaz.com/
phoenix-central,"El Super Taco",taco_restaurant,665,4.8,hide,no_hh_found,https://elsupertacoaz.com/
phoenix-central,"Gus's World Famous Fried Chicken",chicken_restaurant,662,4.6,hide,no_hh_found,https://www.gusfriedchicken.com/
phoenix-central,"théa",mediterranean_restaurant,645,4.6,hide,no_hh_found,https://www.globalambassadorhotel.com/restaurants/thea
