reason,name,primary_type,reviews,address,website
out-of-area,"La Herradura Street Tacos & Bar","mexican_restaurant",135,"16441 S Houghton Rd, Corona De Tucson, AZ 85641, USA","https://laherradurakitchen.com/"
out-of-area,"La Luz Restaurant","restaurant",33,"3800 E Sunrise Dr, Tucson, AZ 85718, USA","https://laluztucson.com/"
out-of-area,"La Parrilla Suiza","mexican_restaurant",1269,"4250 W Ina Rd, Tucson, AZ 85741, USA","https://laparrillasuiza.com/"
out-of-area,"Legends Bar & Grill","bar_and_grill",150,"2727 W Club Dr, Tucson, AZ 85742, USA","https://www.omnihotels.com/hotels/tucson-national/dining/legends?utm_source=gmblisting&utm_medium=organic"
out-of-area,"Linh Nam Chinese Restaurant","chinese_restaurant",468,"3936 W Ina Rd Ste 362, Tucson, AZ 85741, USA","https://linhnamchineseaz.com/"
out-of-area,"Lookout Bar and Grill","bar_and_grill",182,"245 E Ina Rd, Tucson, AZ 85704, USA","https://www.westwardlook.com/dining/palm"
out-of-area,"Lucky Wishbone","restaurant",253,"3780 W Ina Rd suite 188, Tucson, AZ 85741, USA","http://luckywishbone.com/"
out-of-area,"Magpies Gourmet Pizza","pizza_restaurant",320,"6342 N Oracle Rd b403, Tucson, AZ 85704, USA","https://magpiespizza.com/"
out-of-area,"Mariscos Chihuahua Ina Rd","mexican_restaurant",672,"4185 W Ina Rd, Tucson, AZ 85741, USA",
out-of-area,"Mosaic Cafe Dos","mexican_restaurant",685,"7350 N La Cholla Blvd #108, Tucson, AZ 85741, USA","http://mosaiccafedos.com/"
out-of-area,"Mr. An's Teppan Steak & Seafood","japanese_restaurant",2816,"6091 N Oracle Rd, Tucson, AZ 85704, USA","https://www.mrantucson.com/"
out-of-area,"Nan Tian BBQ Gourmet","restaurant",31,"1990 W Orange Grove Rd Ste D, Tucson, AZ 85704, USA",
out-of-area,"Ni's Asian Bistro & Sushi Bar","asian_restaurant",296,"7665 N La Cholla Blvd, Tucson, AZ 85741, USA","http://www.nisasianbistro.com/"
out-of-area,"Nico's Mexican Food","mexican_restaurant",271,"4960 N Sabino Canyon Rd, Tucson, AZ 85750, USA","https://nicosmexfood.com/listing/dine-in-take-away-delivery/"
out-of-area,"Nico's Mexican Food","mexican_restaurant",866,"4231 W Ina Rd #141, Tucson, AZ 85741, USA",
out-of-area,"North Italia","italian_restaurant",2210,"2995 E Skyline Dr, Tucson, AZ 85718, USA","https://www.northitalia.com/locations/tucson-az-la-encantada/"
out-of-area,"Noy’S TukTukThai On Sunrise","asian_restaurant",149,"6878 E Sunrise Dr #160, Tucson, AZ 85750, USA","https://tuktukthai2990.com/"
out-of-area,"Old Father Inn","bar",691,"4080 W Ina Rd, Tucson, AZ 85741, USA","https://m.facebook.com/Oldfatherinn/"
out-of-area,"Ole' Mexican Grill","mexican_restaurant",1701,"2080 W Orange Grove Rd Suite #1131, Tucson, AZ 85704, USA","https://www.olemexicangrill.com/"
out-of-area,"Oregano's","italian_restaurant",2248,"100 W Orange Grove Rd, Tucson, AZ 85704, USA","https://oreganos.com/"
out-of-area,"Papa Murphy's | Take 'N' Bake Pizza","pizza_restaurant",396,"7250 N La Cholla Blvd Suite 186, Tucson, AZ 85741, USA","https://locations.papamurphys.com/az/tucson/7250-north-la-cholla?utm_source=organic&utm_medium=gmb&utm_campaign=yext&y_source=1_MTU0MzAwNjktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D"
out-of-area,"Pappoule's","greek_restaurant",1772,"7475 N La Cholla Blvd, Tucson, AZ 85741, USA","http://www.pappoules.com/"
out-of-area,"Piazza Gavi","italian_restaurant",1648,"5415 N Kolb Rd, Tucson, AZ 85750, USA","http://www.gavicucina.com/"
out-of-area,"Pita Jungle","mediterranean_restaurant",1141,"7090 N Oracle Rd #128, Tucson, AZ 85704, USA","https://pitajungle.com/locations/tucson-oracle-ina/?utm_source=google&utm_medium=organic&utm_campaign=TucsonOracle&utm_content=WebsiteLink"
out-of-area,"Putney's Pitstop Sports Bar & Grill","sports_bar",1396,"6090 N Oracle Rd, Tucson, AZ 85704, USA","https://www.putneyspitstop.com/"
out-of-area,"RA Sushi - Tucson","sushi_restaurant",2398,"2905 E Skyline Dr, Tucson, AZ 85718, USA","https://rasushi.com/"
out-of-area,"Redbird Scratch Kitchen + Bar","restaurant",832,"6444 N Oracle Rd, Tucson, AZ 85704, USA","https://www.redbirdrestaurants.com/"
out-of-area,"Rosati's Pizza","pizza_restaurant",1021,"2944 W Ina Rd, Tucson, AZ 85741, USA","http://myrosatis.com/tucsonina"
out-of-area,"Seoul+Shi","korean_restaurant",83,"6462 N Oracle Rd, Tucson, AZ 85704, USA","http://seoul-shi.com/"
out-of-area,"Sgt. Pepperoni's Pizza","pizza_restaurant",285,"2860 W Ina Rd, Tucson, AZ 85741, USA","http://sgtpepperonispizzatucson.com/39322"
out-of-area,"Sunset Nursery","farm",31,"5939 N Oracle Rd, Tucson, AZ 85704, USA","https://tedsmercantile.com/"
out-of-area,"Sushi Garden","sushi_restaurant",889,"7475 N La Cholla Blvd Suite 422, Tucson, AZ 85741, USA","https://sushigarden.com/"
out-of-area,"Sushi on Oracle","sushi_restaurant",711,"6449 N Oracle Rd, Tucson, AZ 85704, USA","https://www.sushionoracletucson.com/"
out-of-area,"Taco Rico","restaurant",208,"4500 W Ina Rd, Tucson, AZ 85741, USA","https://tacoricoaz.com/"
out-of-area,"Tacos del Rancho","mexican_restaurant",574,"6421 N Oracle Rd, Tucson, AZ 85704, USA","https://www.tacosdelrancho.com/"
out-of-area,"Taquería el Cheke","mexican_restaurant",166,"6530 S Camino De Oeste, Tucson, AZ 85718, USA",
out-of-area,"Tavolino Ristorante Italiano","italian_restaurant",806,"2890 E Skyline Dr, Tucson, AZ 85718, USA","http://www.tavolinoristorante.com/"
out-of-area,"Teaspoon","brunch_restaurant",1220,"7053 N Oracle Rd, Tucson, AZ 85704, USA","http://teaspoontucson.com/"
out-of-area,"Terraza Garden Patio & Lounge","restaurant",360,"5501 N Hacienda Del Sol Rd, Tucson, AZ 85718, USA","http://www.haciendadelsol.com/dining"
out-of-area,"The Blacktop Grill (Award-Winning Street Food)","mexican_restaurant",480,"8300 N Thornydale Rd #120, Tucson, AZ 85741, USA","https://theblacktopgrill.com/?utm_source=google"
out-of-area,"The Grill at Hacienda del Sol","fine_dining_restaurant",718,"5501 N Hacienda Del Sol Rd, Tucson, AZ 85718, USA","https://www.haciendadelsol.com/dining"
out-of-area,"The Hills Tucson","restaurant",44,"6960 E Sunrise Dr, Tucson, AZ 85750, USA","https://thehillstucson.com/"
out-of-area,"The Honey Baked Ham Company","restaurant",159,"7090 N Oracle Rd Suite 100, Tucson, AZ 85704, USA","https://honeybaked.com/stores/8705?utm_source=gmb&utm_medium=google&utm_campaign=honeybakedham_soci&utm_id=SOCi"
out-of-area,"The Parish","american_restaurant",3063,"6453 N Oracle Rd, Tucson, AZ 85704, USA","http://www.theparishtucson.com/"
out-of-area,"The Peak","bar",2,"2727 W Club Dr, Tucson, AZ 85742, USA","https://www.omnihotels.com/hotels/tucson-national/dining/the-peak?utm_source=gmblisting&utm_medium=organic"
out-of-area,"The Ramen Bar","ramen_restaurant",97,"7555 N La Cholla Blvd Suite #135, Tucson, AZ 85741, USA","https://www.ramenbartucson.com/"
out-of-area,"Three Canyon Beer and Wine Garden","beer_garden",684,"4999 N Sabino Canyon Rd, Tucson, AZ 85750, USA","http://www.threecanyon.com/"
out-of-area,"Tinajas Wine & Beer","wine_bar",44,"6960 E Sunrise Dr, Tucson, AZ 85750, USA","https://tinajaswine.com/"
out-of-area,"Tiny's Family Restaurant","restaurant",1572,"4900 W Ajo Hwy, Tucson, AZ 85757, USA",
out-of-area,"Toss Fried chicken and Ramen (Ina)","restaurant",73,"3930 W Ina Rd Suite 322, Tucson, AZ 85741, USA","https://tucson.tossfriedchickenandramen.com/"
out-of-area,"Trattoria Pina","italian_restaurant",658,"5541 N Swan Rd, Tucson, AZ 85718, USA","http://www.trattoriapina.com/"
out-of-area,"Trident Grill IV","restaurant",917,"2912 W Ina Rd, Tucson, AZ 85741, USA","http://www.tridentgrill.com/"
out-of-area,"True Food Kitchen","restaurant",621,"2905 E Skyline Dr #298, Tucson, AZ 85718, USA","https://www.truefoodkitchen.com/locations/tucson/"
